tt0000641,Balked at Altar
tt0001490,Back to Primitive
tt0001491,Back to Soil
tt0002048,Battle in Virginia Hills
tt0003649,Back to Farm
tt0003650,Back to Kitchen
tt0003652,"Baffles, Gentleman Burglar"
tt0003654,Bandits of Border Mine
tt0004934,Back to Primitive
tt0006393,Babette of Ballyhoo
tt0007665,Bab Fixer
tt0007672,Back of Man
tt0007683,Barred from Bar
tt0008568,Back to Primitive
tt0008859,Back to Balkans
tt0008860,Back to Woods
tt0008861,Back to Woods
tt0009690,Back to Right Trail
tt0009901,Ballahooing on Anarika
tt0011940,Back from Front
tt0015603,Barriers of Law
tt0016627,Bardelys Magnificent
tt0019815,Battle of Ladies
tt0022647,Babes in Woods
tt0022652,"Barbarina, King's Dancer"
tt0024853,Babes in Goods
tt0028390,Battle of Century
tt0028600,Back to Woods
tt0029347,Baby of Family
tt0030385,Battles in Shadow
tt0031075,Ball at Castle
tt0032871,Battle of Giants
tt0033366,Back in Saddle
tt0034489,Bad Men of Hills
tt0034496,Bats in Belfry
tt0035658,Back from Front
tt0037455,Battle for Atlantic: Greyhound vs Wolfpack - Western Approaches
tt0037525,Bandits of Badlands
tt0038320,Bad Men of Border
tt0044237,Battle of Ages
tt0044390,Back at Front
tt0044981,Baghdad on Subway
tt0045369,Back Fact
tt0045370,Bank on Stars
tt0045540,Bandits of West
tt0050157,Back from Dead
tt0051721,Bay Moon
tt0052606,Battle of Coral Sea
tt0052753,Back to Wall
tt0053103,Battle Beyond Sun
tt0053352,Banner in Sky
tt0054950,Battle of Worlds
tt0056846,Bay of Angels
tt0056888,Battle of Valiant
tt0057873,Bartholomew Versus Wheel
tt0058930,Baby Rain Must Fall
tt0058947,Battle of Bulge
tt0058995,Badmen of West
tt0061385,Barefoot in Park
tt0061387,Battle Beneath Earth
tt0061962,Bad Men of West
tt0062711,Barbarella: Queen of Galaxy
tt0063340,Barbara Yes Girl
tt0064580,Battle of Commandos
tt0064733,Battle of Japan Sea
tt0065276,Barefoot in Park
tt0069700,Battle of Amazons
tt0069765,Bang Drum Slowly
tt0069768,Battle for Planet of Apes
tt0070268,Bad Kids of West
tt0070445,Barn of Naked Dead
tt0070951,Battle of Godfathers
tt0071184,Back to Planet of Apes
tt0072093,Backlash of Hunter
tt0075480,Baggy Pants & Nitwits
tt0075881,Battle of Stars
tt0078565,Backstairs at White House
tt0078832,Battle of Eagles
